Id,Fecha,Descrip
1,03/21/1999 00:00,Deslizamiento
2,03/21/2009 00:00,Deslizamiento
3,03/21/2009 00:00,Deslizamiento
4,03/21/2009 00:00,Deslizamiento
5,08/13/2003 00:00,Deslizamiento
6,09/12/2003 00:00,Deslizamiento
7,08/13/2003 00:00,Deslizamiento
8,07/13/2003 00:00,Deslizamiento
9,11/25/1956 00:00,Deslizamiento
10,08/13/2003 00:00,Deslizamiento
11,06/16/1981 00:00,Deslizamiento
12,08/29/1973 00:00,Deslizamiento
13,10/21/2002 00:00,Deslizamiento
14,08/14/2003 00:00,Deslizamiento
15,05/15/2007 00:00,Deslizamiento
16,05/09/1972 00:00,Deslizamiento
17,04/04/1979 00:00,Deslizamiento
18,09/19/1998 00:00,Deslizamiento
19,04/30/1972 00:00,Deslizamiento
20,06/01/1979 00:00,Deslizamiento
21,07/01/2022 00:00,Deslizamiento
22,10/31/2017 00:00,Deslizamiento
23,08/14/2003 00:00,Deslizamiento
24,05/10/1972 00:00,Deslizamiento
25,04/05/1979 00:00,Deslizamiento
26,09/20/1998 00:00,Deslizamiento
27,06/17/1981 00:00,Deslizamiento
28,11/26/1956 00:00,Deslizamiento
29,10/19/1980 00:00,Deslizamiento
30,10/21/1980 00:00,Deslizamiento
31,11/07/1994 00:00,Deslizamiento
32,07/10/1988 00:00,Deslizamiento
33,05/01/1972 00:00,Deslizamiento
34,06/02/1979 00:00,Deslizamiento
35,03/05/2006 00:00,Deslizamiento
36,10/28/2003 00:00,Deslizamiento
37,08/16/2018 00:00,Deslizamiento
38,08/16/2018 00:00,Deslizamiento
39,08/16/2018 00:00,Deslizamiento
40,08/16/2018 00:00,Deslizamiento
41,08/16/2018 00:00,Deslizamiento
42,08/16/2018 00:00,Deslizamiento
43,08/16/2018 00:00,Deslizamiento
44,08/16/2018 00:00,Deslizamiento
45,08/16/2018 00:00,Deslizamiento
46,08/16/2018 00:00,Deslizamiento
47,08/16/2018 00:00,Deslizamiento
48,08/16/2018 00:00,Deslizamiento
49,09/12/2023 00:00,Deslizamiento
50,01/31/2023 00:00,Deslizamiento
51,07/16/2009 00:00,Deslizamiento
52,08/16/2018 00:00,Deslizamiento
53,08/16/2018 00:00,Deslizamiento
54,08/16/2018 00:00,Deslizamiento
55,07/27/2016 00:00,Deslizamiento
56,07/27/2016 00:00,Deslizamiento
57,07/27/2016 00:00,Deslizamiento
58,07/27/2016 00:00,Deslizamiento
59,07/27/2016 00:00,Deslizamiento
60,07/10/1985 00:00,Deslizamiento
61,09/28/1994 00:00,Flujo
62,09/06/1995 00:00,Flujo
63,11/05/1972 00:00,Flujo
64,08/11/1994 00:00,Flujo
65,09/09/1988 00:00,Flujo
66,09/09/1993 00:00,Flujo
67,07/11/1984 00:00,Flujo
68,11/10/1990 00:00,Flujo
69,09/01/1986 00:00,Flujo
70,09/26/1984 00:00,Flujo
71,09/09/1988 00:00,Flujo
72,07/11/1984 00:00,Flujo
73,11/05/1993 00:00,Flujo
74,09/01/1986 00:00,Flujo
75,05/15/1986 00:00,Deslizamiento
76,11/05/1980 00:00,Flujo
77,05/18/1983 00:00,Flujo
78,05/18/1983 00:00,Deslizamiento
79,08/10/1986 00:00,Deslizamiento
80,02/08/1987 00:00,Deslizamiento
81,11/07/1988 00:00,Deslizamiento
82,08/09/1988 00:00,Deslizamiento
83,01/16/1993 00:00,Deslizamiento
84,08/11/1994 00:00,Deslizamiento
85,05/09/1998 00:00,Deslizamiento
86,01/09/2002 00:00,Deslizamiento
87,05/10/2003 00:00,Deslizamiento
88,02/12/1966 00:00,Deslizamiento
89,11/27/1956 00:00,Flujo
90,06/04/1979 00:00,Deslizamiento
91,05/09/1998 00:00,Deslizamiento
92,09/21/1998 00:00,Deslizamiento
93,05/16/2007 00:00,Deslizamiento
94,05/14/1971 00:00,Flujo
95,11/01/1981 00:00,Flujo
96,02/05/1972 00:00,Deslizamiento
97,08/11/1984 00:00,Deslizamiento
98,10/14/1944 00:00,Deslizamiento
99,06/18/1981 00:00,Deslizamiento
100,10/20/1980 00:00,Deslizamiento
101,05/11/1994 00:00,Flujo
102,09/21/1998 00:00,Deslizamiento
103,10/18/2011 00:00,Deslizamiento
104,02/16/2011 00:00,Deslizamiento
105,03/21/1999 00:00,Deslizamiento
106,03/21/2009 00:00,Deslizamiento
107,06/09/2020 00:00,Deslizamiento
108,11/13/2000 00:00,Deslizamiento
109,02/07/2004 00:00,Deslizamiento
110,12/31/1985 00:00,Deslizamiento
111,09/24/2022 00:00,Deslizamiento
112,09/24/2022 00:00,Deslizamiento
113,10/14/1944 00:00,Deslizamiento
114,03/21/2009 00:00,Deslizamiento
