Fecha,Lluvia_Dia,Lluvia_Antecedente,Evento_MM,Umbral_Superado
1971-01-01,2.0,0.0,0,True
1971-01-03,3.0,2.0,0,True
1971-01-05,10.0,5.0,0,True
1971-01-06,23.0,15.0,0,True
1971-01-09,15.0,38.0,0,True
1971-01-11,10.0,58.0,0,True
1971-01-12,7.0,68.0,0,True
1971-01-17,20.0,86.0,0,True
1971-02-04,40.0,120.0,0,True
1971-02-16,12.0,86.0,0,True
1971-02-17,30.0,78.0,0,True
1971-02-18,30.0,108.0,0,True
1971-02-19,68.0,138.0,0,True
1971-02-23,30.0,226.0,0,True
1971-03-01,44.0,284.0,0,True
1971-03-03,74.0,340.0,0,True
1971-03-06,48.0,445.0,0,True
1971-03-17,62.0,521.0,0,True
1971-03-18,85.0,583.0,0,True
1971-03-31,74.0,567.0,0,True
1971-04-14,50.0,421.0,0,True
1971-04-22,62.0,297.0,0,True
1971-05-06,42.0,368.0,0,True
1971-05-07,110.0,390.0,0,True
1971-05-09,79.0,532.0,0,True
1971-05-22,94.0,794.0,0,True
1971-06-17,102.0,642.0,0,True
1971-06-26,105.0,633.0,0,True
1971-07-02,164.0,706.0,0,True
1971-07-04,114.0,867.0,0,True
1971-07-26,114.0,963.0,0,True
1971-08-27,71.0,577.0,0,True
1971-09-08,61.0,455.0,0,True
1971-09-16,60.0,433.0,0,True
1971-09-17,88.0,483.0,0,True
1971-09-18,110.0,571.0,0,True
1971-10-19,50.0,448.0,0,True
1971-11-08,52.0,399.0,0,True
1971-11-18,63.0,356.0,0,True
1971-12-17,13.0,97.0,0,True
1971-12-21,2.0,15.0,0,True
1971-12-23,33.0,17.0,0,True
1971-12-28,30.0,50.0,0,True
1971-12-29,10.0,80.0,0,True
1971-12-31,20.0,90.0,0,True
1972-01-03,18.0,110.0,0,True
1972-01-08,20.0,136.0,0,True
1972-01-10,52.0,156.0,0,True
1972-02-04,31.0,132.0,0,True
1972-02-06,23.0,155.0,0,True
1972-02-07,38.0,178.0,0,True
1972-02-10,18.0,144.0,0,True
1972-03-13,8.0,33.0,0,True
1972-03-14,23.0,41.0,0,True
1972-03-17,10.0,64.0,0,True
1972-03-19,20.0,64.0,0,True
1972-03-20,23.0,84.0,0,True
1972-03-21,18.0,107.0,0,True
1972-03-22,20.0,125.0,0,True
1972-03-30,23.0,153.0,0,True
1972-04-07,23.0,173.0,0,True
1972-04-08,20.0,196.0,0,True
1972-04-09,23.0,216.0,0,True
1972-04-10,31.0,239.0,0,True
1972-04-11,58.0,270.0,0,True
1972-04-12,34.0,328.0,0,True
1972-05-24,53.0,474.0,0,True
1972-07-06,28.0,263.0,0,True
1972-07-15,28.0,183.0,0,True
1972-07-23,28.0,139.0,0,True
1972-07-25,20.0,154.0,0,True
1972-08-08,28.0,137.0,0,True
1972-08-13,20.0,154.0,0,True
1972-08-18,20.0,166.0,0,True
1972-08-21,23.0,194.0,0,True
1972-08-24,29.0,192.0,0,True
1972-08-26,48.0,193.0,0,True
