Fecha,Lluvia_Dia,Lluvia_Antecedente,Num_Eventos,Evento_MM
1971-05-14,15.0,708.0,1,1
1972-02-05,0.0,155.0,1,1
1972-04-30,28.0,399.0,1,1
1972-05-01,28.0,427.0,1,1
1972-05-09,30.0,490.0,1,1
1972-05-10,13.0,497.0,1,1
1972-11-05,23.0,425.0,1,1
1973-08-29,11.0,301.0,1,1
1979-04-04,40.0,169.0,1,1
1979-04-05,8.0,209.0,1,1
1979-06-01,0.0,620.0,1,1
1979-06-02,0.0,620.0,1,1
1979-06-04,41.0,628.0,1,1
1980-10-19,0.0,616.0,1,1
1980-10-20,0.0,606.0,1,1
1980-10-21,0.0,576.0,1,1
1980-11-05,0.0,421.0,1,1
1981-06-16,0.0,353.0,1,1
1981-06-17,10.0,323.0,1,1
1981-06-18,0.0,313.0,1,1
1981-11-01,0.0,581.0,1,1
1983-05-18,22.0,412.0,2,1
1984-07-11,11.0,244.0,2,1
1984-08-11,0.0,250.0,1,1
1984-09-26,0.0,321.0,1,1
1985-07-10,3.0,176.0,1,1
1985-12-31,0.0,584.0,1,1
1986-05-15,0.0,0.0,1,1
1986-08-10,0.0,0.0,1,1
1986-09-01,0.0,0.0,2,1
1987-02-08,14.0,211.0,1,1
1988-07-10,0.0,0.0,1,1
1988-08-09,0.0,0.0,1,1
1988-09-09,0.0,0.0,2,1
1988-11-07,0.0,0.0,1,1
1990-11-10,0.0,691.0,1,1
1993-01-16,53.0,24.0,1,1
1993-09-09,28.0,341.0,1,1
1993-11-05,0.0,175.0,1,1
1994-05-11,0.0,207.0,1,1
1994-08-11,21.0,128.0,2,1
1994-09-28,0.0,245.0,1,1
1994-11-07,0.0,346.0,1,1
1995-09-06,0.0,162.0,1,1
1998-05-09,14.0,304.0,2,1
1998-09-19,2.0,248.0,1,1
1998-09-20,22.0,250.0,1,1
1998-09-21,4.0,272.0,2,1
1999-03-21,0.0,148.0,2,1
2000-11-13,0.0,184.0,1,1
2002-01-09,0.0,88.0,1,1
2002-10-21,4.0,110.0,1,1
2003-05-10,10.0,272.0,1,1
2003-07-13,10.0,246.0,1,1
2003-08-13,3.0,112.0,3,1
2003-08-14,15.0,110.0,2,1
2003-09-12,0.0,87.0,1,1
2003-10-28,0.0,0.0,1,1
2004-02-07,0.0,0.0,1,1
2006-03-05,9.0,47.9,1,1
2007-05-15,31.0,261.5,1,1
2007-05-16,2.0,292.5,1,1
2009-03-21,11.5,148.4,5,1
2009-07-16,0.0,191.2,1,1
2011-02-16,31.7,59.0,1,1
2011-10-18,17.4,280.90000000000003,1,1
2016-07-27,4.7,268.5,5,1
2017-10-31,1.0,170.69999999999996,1,1
2018-08-16,0.0,208.9,15,1
2020-06-09,14.4,162.3,1,1
2022-07-01,22.4,381.00000000000006,1,1
2022-09-24,22.3,255.10000000000002,2,1
2023-01-31,0.0,63.3,1,1
2023-09-12,4.2,175.69999999999996,1,1
