,archivo,dimensiones,nodata_oficial,nodata_usado,tipo_datos,valores_unicos,datos_validos,datos_nan,porcentaje_validos,es_categorica,media,mediana,std,min,max
Aspect,Aspect.tif,"(2004, 2622)",-3.4028234663852886e+38,-3.4028234663852886e+38,float32,8330,3274610,1979878,62.32024889960734,False,167.8188,155.55605,102.46392,-1.0,359.34146
Slope,Slope.tif,"(2004, 2622)",-3.4028234663852886e+38,-3.4028234663852886e+38,float32,2606,3274610,1979878,62.32024889960734,False,14.9823675,14.368519,6.903334,0.0,70.35058
Curvatura_Perfil,Curvatura_Perfil.tif,"(2004, 2622)",65536.0,65536.0,float32,27429,3276443,1978045,62.355133364088,False,0.011250792,0.0,0.78195745,-15.854307,16.147907
Curvatura_Total,Curvatura_Planar.tif,"(2004, 2622)",65536.0,65536.0,float32,27924,3276443,1978045,62.355133364088,False,0.011359828,0.0,0.780266,-15.323778,15.376533
FlowAcc,FlowAcc.tif,"(2004, 2622)",-3.4028234663852886e+38,-3.4028234663852886e+38,float32,3619,3276443,1978045,62.355133364088,False,601.4579,0.0,1266.5398,0.0,5000.0
Coberturas,CoberturaGEE.tif,"(2004, 2622)",15.0,15.0,uint8,5,3096592,2157896,58.93232604204254,True,2.3468509897332295,3.0,0.7955739794330059,1.0,4.0
Suelos,Suelos_5Clases.tif,"(2004, 2622)",255.0,255.0,uint8,6,3216614,2037874,61.21650672720158,True,3.93829256479018,4.0,0.43732683938763406,1.0,5.0
DEM,DEM.tif,"(2004, 2622)",65535.0,65535.0,uint16,1634,3276443,1978045,62.355133364088,False,2339.473589194135,2405.0,387.32278175944913,1375.0,3007.0
Geologia,Geologia_5Clases.tif,"(2004, 2622)",255.0,255.0,uint8,6,3217420,2037068,61.231845995271094,True,2.989344878815946,3.0,0.5050597533525542,1.0,5.0
Precipitacion,annual_precip7.tif,"(2004, 2622)",65535.0,65535.0,uint16,29,3275728,1978760,62.34152594886505,False,2527.264956370004,2586.0,189.5840384175722,2144.0,2883.0
DistanciaRios,Distancia_Rios4.tif,"(2004, 2622)",-1.7976931348623157e+308,-1.7976931348623157e+308,float64,5079,3280795,1973693,62.437957799123346,False,183.32246153082943,162.470943673,130.72712400074602,0.0,860.89554228
DistanciaCaminos,Distancia_Vias2.tif,"(2004, 2622)",-1.7976931348623157e+308,-1.7976931348623157e+308,float64,3276439,3280795,1973693,62.437957799123346,False,331.5239071451184,263.567849815,277.43087173472014,0.000121836845052,2265.52273316
Inventario,Inventario_V1.tif,"(2004, 2622)",255.0,255.0,uint8,3,3276443,1978045,62.355133364088,False,0.0001736639398274287,0.0,0.013177017138314435,0.0,1.0
