Variable,Datos_Faltantes,Porcentaje_Faltantes
aspect,1979878,37.67975110039266
slope,1979878,37.67975110039266
curvatura_perfil,1978045,37.644866635912
curvatura_total,1978045,37.644866635912
flowacc,1978045,37.644866635912
coberturas,2157896,41.06767395795746
suelos,2037874,38.78349327279842
dem,1978045,37.644866635912
geologia,2037068,38.76815400472891
precipitacion,1978760,37.65847405113495
distanciarios,1973693,37.56204220087666
distanciacaminos,1973693,37.56204220087666
inventario,1978045,37.644866635912
