Codigo,Unidad_geo,Granulomet,Espesor_m,Gamma_kNm3,C_kPa,Phi,Cat_modelo
Sta,Suelo transportado aluvial,"Arena, limo y arcilla", ,0.000000000000000,0.000000000000000,0.000000000000000,1
Sta,Suelo transportado aluvial,Limo y arcilla, ,0.000000000000000,0.000000000000000,0.000000000000000,2
Sracgba,Suelo residual arenoarcilloso de cuarzodioritas y granodioritas del Batolito Antioqueño,Arena arcillosa, ,0.000000000000000,0.000000000000000,0.000000000000000,3
Srlargd,Suelo residual limoarcilloso de gabros y dioritas,Limo arcilloso, ,18.399999999999999,16.500000000000000,24.399999999999999,4
Rbgd,Roca blanda de gabros y dioritas,Limo arenoso, ,20.000000000000000,51.000000000000000,41.200000000000003,5
Sracgba,Suelo residual arenoarcilloso de cuarzodioritas y granodioritas del Batolito Antioqueño,Arena arcillosa, ,0.000000000000000,0.000000000000000,0.000000000000000,6
Sracgba,Suelo residual arenoarcilloso de cuarzodioritas y granodioritas del Batolito Antioqueño,Arena arcillosa, ,0.000000000000000,0.000000000000000,0.000000000000000,7
Rmbeam,"Roca muy blanda de esquistos cuarzosericíticos, cloríticos y anfibólicos del Grupo Ayurá Montebello",Arena limosa, ,0.000000000000000,0.000000000000000,0.000000000000000,8
Sralgth,Suelo residual arenolimoso del Gneis Tonalítico de Horizontes,Arena limosa, ,13.300000000000001,14.600000000000000,17.000000000000000,9
Sta,Suelo transportado aluvial,"Arena, limo y grava", ,0.000000000000000,0.000000000000000,0.000000000000000,10
Stco,Suelo transportado coluvial,Gravas, ,0.000000000000000,0.000000000000000,0.000000000000000,11
