variable,tipo,auc_score,p_value_min,significativa,abs_diferencia_media
precipitacion,numérica,0.6162648460017534,7.04969130105308e-31,True,91.83535412424453
slope,numérica,0.5321720129513297,0.00785537493198869,True,0.7687816619873047
curvatura_perfil,numérica,0.5272702694328549,0.020128403388972194,True,0.07618872076272964
distanciacaminos,numérica,0.5272010728813659,0.024609644635680696,True,16.639272952115732
flowacc,numérica,0.5271303153685375,0.0019666946645378663,True,164.358154296875
geologia,categórica,0.5001253721187293,1.580207863695417e-05,True,0.00025074423745865117
suelos,categórica,0.5001137319860784,0.003997748268546345,True,0.00022746397215685067
coberturas,categórica,0.5001020324070622,0.03558243020134057,True,0.0002040648141244246
distanciarios,numérica,0.46490810133516647,0.0037377787505587937,True,12.181323102586845
dem,numérica,0.32484259237701363,1.8129835342145415e-47,True,194.37377724752514
aspect,numérica,0.5226245858304377,0.05908949584555668,False,8.108596801757812
curvatura_total,numérica,0.47908109451278513,0.06622457632060032,False,0.060091063380241394
